Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0,1.17,0.38,28.33,30,35,20.17,3,36.67,30.83,25
0,1.26,0.7,31.67,32.67,40,12.33,2.5,16.33,48.67,33.33
0,1.35,1.83,43.33,34.66,50,22.67,3,17.67,46.33,38.33
0,1.39,0.5,31.67,33,38.33,13.5,2.5,18.33,40.5,38.33
0,1.4,1.12,25,19.33,28.33,12.67,3.67,25.16,28.17,23.33
0,1.42,1.84,63.33,53.66,60,22,5,27.83,64.83,55
0,1.46,1.98,33.34,20.17,35,20.67,2,38,37.83,35
0,1.5,0.98,28.33,25,31.67,16.67,1.5,41.5,29.83,36.67
0,1.5,1.14,68.33,63.5,68.34,23.67,6,28.33,73.5,60
0,1.54,0.62,38.33,45.17,48.33,22.33,3.67,40.17,44,38.33
0,1.55,0.8,43.34,37.16,43.34,16.83,2.33,40.33,48,45
0,1.56,0.75,40,37.17,31.66,18.17,4.5,38.33,46.17,46.67
0,1.56,1.42,56.67,77,75,22.33,5.83,24.5,63.5,51.67
0,1.57,1.25,60,71.66,80,21.83,5.33,26,64,51.67
0,1.61,0.59,40,39.66,50,16.83,2.83,18.83,46.83,40
0,1.63,0.91,48.33,44.67,50,17.5,4,19.67,65,48.33
0,1.63,1.52,55,48.5,48.34,19.83,3.33,26,64.33,53.33
0,1.65,1.35,56.67,72.83,75,20,5,24.33,61.33,58.33
0,1.67,1.88,38.33,17.33,30,17.5,2,41.33,44.33,40
0,1.68,0.82,46.67,48,58.33,18.33,3.67,20.33,50.83,46.67
0,1.68,3.41,36.66,24.33,35,14.83,2.17,39.67,44.33,40
0,1.7,0.57,40,39.17,45,21.83,4,18.5,52,38.33
0,1.72,0.61,36.67,25.66,30,11.83,1.5,41.17,37,35
0,1.73,2.42,40,14.83,30,20,2.67,35.84,41,36.67
0,1.74,0.67,48.34,52,60,18.33,4.67,20.67,56.17,51.67
0,1.74,0.7,35,25.17,33.34,21,2,40.5,47.83,41.67
0,1.76,0,38.33,20.17,30,20.17,1.83,38,40.5,41.67
0,1.76,0.87,53.33,48.83,65,19.5,3.83,23.83,63.67,46.67
0,1.78,0.98,53.33,46.83,51.67,18.17,3.33,23.5,58.5,55
0,1.78,2.32,45,24.17,36.66,10.33,2.83,33,45.83,38.33
0,1.79,2.4,43.33,30.05,46.66,19,3.5,39.67,49.5,46.67
0,1.8,1.7,38.33,25.17,38.33,14.33,1.83,35.67,46.17,36.67
0,1.8,1.83,60,72.5,86.66,29.17,5,30.17,66.83,55
0,1.82,1.71,41.67,18,38.33,19,2,37.83,42,38.33
0,1.84,0.59,36.67,33.5,31.67,14,3.33,34.84,38.17,35
0,1.89,1.62,58.34,49.33,58.34,22.67,4.33,31,63.5,55
0,1.9,1.35,60,72.83,81.67,30.33,6,27.33,66.33,53.33
0,1.98,0.62,35,16.5,28.33,15.33,1.83,38.33,35,33.33
0,1.99,1.65,61.67,76.67,71.67,21.5,4.83,26,64.5,55
0,1.99,1.93,41.67,23,30,15.83,2.5,34,45,46.67
0,2,1.05,40,23.83,30,15.17,2.17,34,42.83,41.67
0,2.04,0,41.67,20.5,33.34,18.5,6,36.33,42.67,51.67
0,2.1,1.18,38.33,21.17,26.66,22.33,2.17,36.66,44.17,41.67
0,2.15,1.27,43.33,24.16,40,18.67,2.83,41,51,51.67
0,2.16,1.25,41.67,21.5,30,20.67,2.17,41.5,43.83,43.33
0,2.2,0.59,48.33,26.67,31.67,16.83,2.33,41.66,49.83,46.67
0,2.21,0.78,45,39.17,45,18,3.33,20.17,52.5,51.67
0,2.26,1.43,40,33.5,33.33,15.17,3.33,39,54,48.33
0,2.3,0.92,53.33,46.5,55,22.83,4.17,27.33,61.83,48.33
0,2.32,0.3,36.67,21.33,28.33,17.83,1.67,35.34,42.17,38.33
0,2.33,0,35,17.34,26.66,9.17,1.67,34,42.33,36.67
0,2.33,0.3,36.66,21,26.66,15,2,31.5,40.33,41.67
0,2.34,1.05,41.67,21.83,28.33,14.67,2,39.16,45.33,43.33
0,2.35,0.78,43.33,21.66,31.67,24,2.67,34.5,46.83,43.33
0,2.35,1.05,43.34,27,31.67,17,3,37.33,52.67,55
0,2.36,0.42,38.33,22,31.67,13.17,2,39.84,41,33.33
0,2.36,2.15,50,5.17,33.34,20.67,3.33,35.67,50.17,46.67
0,2.43,0.78,45,28,36.66,21.17,2.5,33.34,46.17,45
0,2.45,0.41,45,25.16,26.66,15.17,2.17,36.83,45.17,43.33
0,2.46,0,41.67,22.83,26.66,14.17,2.5,36.17,41.67,41.67
0,2.52,0.82,48.33,26.33,38.33,16.83,2.33,36.17,50.5,55
0,2.56,0.75,51.67,30.66,43.33,17.83,2.17,41.34,55.17,48.33
0,2.6,0.73,51.67,26.67,36.66,17,2.67,41.33,56.83,51.67
0,2.63,1.43,56.67,42.5,41.67,21.33,4,37.17,61.33,55
0,2.8,0.72,43.34,23,26.66,19.33,2.83,37.67,51.17,45
0.01,1.16,1.76,20,21.67,35,8.5,6.33,38.67,23.17,25
0.02,2.5,1.15,50,30.84,36.66,17.33,3.33,39.5,65.83,48.33
0.03,1.69,0.9,46.67,50.17,56.66,18,4.33,25.67,59.67,55
0.03,2.42,1.62,36.66,17,28.33,13.5,1.83,35.67,38.33,36.67
0.05,1.73,0,35,31,31.67,21.5,2.33,35.84,46.33,36.67
0.05,1.79,1.37,40,25,33.34,17.33,2,40,43.33,41.67
0.05,2.01,0.9,38.33,16.67,31.67,17.5,2.33,34.34,43.5,40
0.05,2.45,0.18,45,20,25,18.17,2.5,35,47.83,46.67
0.06,2.06,1.15,48.34,67.5,68.33,20.5,4.67,24.67,56.5,56.67
0.06,2.26,1.17,41.67,24.33,36.67,15.33,2,40.5,42.33,41.67
0.07,0.91,3.15,13.33,13.33,31.66,12.33,2.5,35.67,23.5,20
0.1,1.05,0.98,8.33,26.5,26.43,12.67,0.83,37.83,19,18.33
0.1,1.54,1.1,66.67,60.34,60,23.5,4.33,28,73.17,65
0.1,2.39,0.75,33.34,16.5,31.67,8.67,1.83,40.17,40.67,40
0.11,1.75,0.93,41.67,26.33,40,18.83,6.5,35.67,46.83,40
0.12,0.71,2.65,15,14.17,26.67,10,3.83,39.67,14.83,16.67
0.12,0.8,1.02,11.66,17.5,23.33,6.67,2,37.17,14.83,18.33
