NH3-N,TN,TKN,TP,Orthophosphate,WATER TEMP.
0.005266418,0.012966032,0.011157037,0.007800519,0.003633141,0.063636364
0.003105918,0.076252325,0.002798569,0.006400082,0.001502289,0.069363636
0.001372278,0.008139358,0.006873815,0.00328198,0.008749077,0.072727273
0.001188878,0.029260291,0.011248436,0.009045943,0.024114606,0.077272727
0.001342944,0.014519504,0.005682555,0.007026562,0.022859253,0.077272727
0.002007564,0.004901938,0.003899561,0.007163403,0.002466401,0.09
0.003209963,0.006473649,0.004373504,0.009440401,0.01447349,0.095454545
0.243756889,0.241920833,0.258998292,0.146497412,0.210756166,0.095454545
0.005882132,0.013498026,0.01105621,0.011911305,0.018534928,0.1
0.000691036,0.020047142,0.010343103,0.005055379,0.03951115,0.104545455
0.000870861,0.004566276,0.000776642,0.003268684,0,0.109090909
0.001547872,0.01531705,0.007587958,0.007871987,0.014535519,0.109090909
0,0.000888176,0.000625129,0.00384098,0.010239256,0.118181818
0.000673771,0.018674371,0.00543937,0.010470868,0.012568306,0.118181818
0.000913319,0.011065917,0.011659021,0.002249298,0.003633141,0.118181818
0.003157865,0.020752046,0.008422753,0.01203485,0.027000443,0.118181818
0.240702565,0.249776322,0.26798005,0.148825379,0.263742431,0.118181818
0.001251916,0.009590864,0.005181443,0.004516323,0.004604933,0.122727273
0.002239794,0.021401496,0.007896271,0.003618821,0.00639935,0.127272727
0,0.008173647,0.006110675,0.005293051,0.012383695,0.131818182
0.000285872,0.023887716,0.02092548,0.004110785,0.024073254,0.131818182
0.001530042,0.06207868,0.013146168,0.012915178,0.021515286,0.131818182
0.126456378,0.181156885,0.188038852,0.139444257,0.090097475,0.131818182
0.000414194,0.012048635,0.012287433,0.005370059,0.007140747,0.136363636
0.001094795,0.008709896,0.009106021,0.00585039,0.003057156,0.136363636
0.00088782,0.024658524,0.025844609,0.003207742,0.009319155,0.140909091
0.001516276,0.037721987,0.022710162,0.004714661,0.012568306,0.140909091
0.018603243,0.071044858,0.034454273,0.00509139,0.00091567,0.140909091
0,0.003091641,0.003265031,0.00321716,0.008576281,0.15
0.000606196,0.004379534,0.004487043,0.00321716,0.008521636,0.15
0.001417319,0.010192194,0.006107773,0.012565041,0.044850096,0.15
0.001442711,0.00830282,0.006242691,0.006050389,0.013012849,0.15
0.001584845,0.038440558,0.009504806,0.007714426,0.014893664,0.15
0.002245905,0.073218747,0.007589293,0.010914079,0.017279575,0.15
0.002705536,0.060473834,0.010045853,0.011227651,0.021888938,0.15
0.003193157,0.118349514,0.014892455,0.026038666,0.018608773,0.15
0.003249076,0.017030259,0.01693298,0.008584062,0.008281052,0.15
0.000544028,0.00177079,0.00172589,0.002639877,0.006770049,0.154545455
0.00542739,0.011548524,0.004840198,0.008114645,0.032339389,0.154545455
0.000754242,0.012659389,0.007444824,0.007643733,0.017323881,0.159090909
0.001345939,0.008475122,0.006416768,0.005741803,0.013123615,0.159090909
0.00148847,0.018310893,0.007937338,0.00992461,0.016613499,0.159090909
0.001634774,0.009506214,0.003774209,0.004099705,0.012996603,0.159090909
0.002288699,0.009522832,0.008329024,0.004573221,0.003367154,0.159090909
0.002539691,0.009364906,0.007919557,0.004131727,0.003377049,0.159090909
0.000600344,0.00713607,0.005303431,0.005016598,0.00456358,0.163636364
0.002025592,0.013257147,0.007565313,0.004073112,0.016127603,0.163636364
0.002635501,0.012300205,0.01123338,0.00509549,0.004471127,0.163636364
0.003468166,0.008337095,0.00641343,0.008880847,0.001521193,0.163636364
0.000106948,0.008634391,0.005434738,0.001468138,0.00091567,0.168181818
0.000918545,0.018597866,0.006891964,0.008027111,0.013229951,0.168181818
0.007462409,0.011540898,0.006655047,0.009077522,0.029209866,0.168181818
0.053182524,0.085187913,0.072039927,0.046443007,0.071482794,0.168181818
0.00076156,0.006337484,0.004551886,0.003580649,0.00423645,0.172727273
0.000821604,0.007760833,0.00449139,0.003037272,0.00123837,0.172727273
0.000846156,0.018160263,0.019135415,0.001711904,0.003190075,0.172727273
0.001378649,0.006649676,0.006845978,0.002444421,0.003258603,0.172727273
0.00267391,0.009157556,0.00827143,0.004514495,0.004622508,0.172727273
0.000403346,0.003293165,0.002651347,0.002383369,0.005365529,0.177272727
0.000608075,0.006572397,0.004452612,0.002065365,0.00245754,0.177272727
0.00084388,0.005507739,0.005559859,0.00262924,0,0.177272727
0.000896956,0.010080121,0.009700506,0.002545695,0.003153153,0.177272727
0.001171583,0.008130429,0.005779621,0.002545141,0,0.177272727
0.02330904,0.085740806,0.037987941,0.007362848,0.001196278,0.177272727
0.000106948,0.00449281,0.000618589,0.009412701,0.000369222,0.181818182
0.000525572,0.004176908,0.003969595,0.001365091,0.000064983,0.181818182
0.000838624,0.018154145,0.006068301,0.003039876,0.007384434,0.181818182
0.001249609,0.019402176,0.008638986,0.008602732,0.017735933,0.181818182
0.001404852,0.007815704,0.005850037,0.005990001,0.013368779,0.181818182
0.001677553,0.001801177,0.001496058,0.012016567,0,0.181818182
0.002290624,0.028430432,0.027978562,0.018430278,0.008453995,0.181818182
0.00322295,0.007733359,0.00817559,0.003587186,0.000914045,0.181818182
0.00340247,0.010404269,0.007498004,0.014426529,0.009348693,0.181818182
0.080259321,0.157382117,0.112516924,0.066325468,0.061092896,0.181818182
0.000191956,0.008932434,0.008825162,0.002409962,0.005626938,0.186363636
0.000436851,0.003637897,0.003325705,0.002843755,0.006832078,0.186363636
0.000651312,0.008065779,0.007772417,0.001767305,0.000654261,0.186363636
0.000718078,0.010519535,0.003229197,0.004986127,0.004282971,0.186363636
0.000866278,0.00590719,0.004639279,0.0025878,0.002881406,0.186363636
0.000883848,0.03023622,0.030568364,0.005772828,0.010943731,0.186363636
0.003967949,0.012882535,0.003538654,0.009153976,0.021899276,0.186363636
0.002719531,0.004462411,0.003657031,0.005329616,0.010677891,0.192727273
0.000332761,0.005244314,0.005334306,0.002811068,0.004798405,0.195454545
0.000682175,0.006977599,0.005145186,0.002153453,0.001629006,0.195454545
0.000682938,0.008152164,0.005782033,0.001955116,0.002113425,0.195454545
0.00077583,0.006904513,0.006649556,0.001756779,0.000890563,0.195454545
0.000868417,0.007415683,0.006163133,0.00342281,0.004626495,0.195454545
0.00146213,0.007663136,0.007589566,0.002237109,0.001899276,0.195454545
0.002714352,0.044109023,0.036218109,0.01855327,0.028044011,0.195454545
0.003228603,0.031907946,0.030677639,0.004875325,0,0.195454545
0,0.000467394,0,0.006365623,0.00391375,0.2
0.000469868,0.007070888,0.005289819,0.003912503,0.00456358,0.2
0.000481113,0.024768089,0.026522059,0.002930735,0.004120514,0.2
0.000504183,0.004705608,0.00249343,0.00626036,0.002658396,0.2
0.000692136,0.008184869,0.005909184,0.004924078,0.005185349,0.2
0.000739254,0.011348937,0.008144197,0.004573941,0.013070447,0.2
0.000796349,0.013238818,0.013617985,0.002232677,0.002540245,0.2
0.000804401,0.022917259,0.024474993,0.0031468,0.003721755,0.2
0.001069326,0.02628617,0.026794565,0.005252054,0.010160981,0.2
0.001125397,0.02995249,0.032011011,0.004944022,0.006897061,0.2
0.0012123,0.045760457,0.003611086,0.008592206,0.013881258,0.2
0.001222261,0.006417309,0.005660632,0.002464809,0.003066017,0.2
0.145576347,0.134281827,0.142122661,0.080913769,0.162776547,0.2
0.257573512,0.220274493,0.22970651,0.136187762,0.035107074,0.2
0.000598908,0.007314908,0.005281167,0.015534557,0,0.203181818
0.000611131,0.005955792,0.006014208,0.004066464,0.001033821,0.204545455
0.000850037,0.013761172,0.014690351,0.003218822,0.003278689,0.204545455
0.000951164,0.057383155,0.00939282,0.010433749,0.020775366,0.204545455
0.001094672,0.006754732,0.005763489,0.002660431,0.004137498,0.204545455
0.001765235,0.067909352,0.002906127,0.006228227,0.019723822,0.204545455
0.002051489,0.038745035,0.009298928,0.008845169,0.01426392,0.204545455
0.003807985,0.026650649,0.017813747,0.006998307,0.004085069,0.204545455
0.005599331,0.027430335,0.015728503,0.008669214,0.014814651,0.204545455
0.001068837,0.008138104,0.007017003,0.003819706,0.005157436,0.209090909
0.001351821,0.025656518,0.026190419,0.005469782,0.003556343,0.209090909
0.001498523,0.012725027,0.009332269,0.005890168,0.007070004,0.209090909
0.001524481,0.007815919,0.006149794,0.004749009,0.002896175,0.209090909
0.001634774,0.009506214,0.003774209,0.00548474,0.004282971,0.209090909
0.003880374,0.105119726,0.012875365,0.019789386,0.00814503,0.209090909
0.0149428,0.030814814,0.022393769,0.013294678,0.023591789,0.209090909
0.000390665,0.014974079,0.014555624,0.004416601,0.008876089,0.213636364
0.00042993,0.004595409,0.004285975,0.002005531,0.001804756,0.213636364
0.000492373,0.008576138,0.006512853,0.004688843,0.004390489,0.213636364
0.001189413,0.014430952,0.015097379,0.01164704,0.011163787,0.213636364
0.001191705,0.005617596,0.001062774,0.003822698,0.002806085,0.213636364
0.001727055,0.025054352,0.009660611,0.00374569,0.004996308,0.213636364
0.001784501,0.004850006,0.005183065,0.007390549,0.000179146,0.213636364
