NH3-N,TN,TKN,TP,Orthophosphate,WATER TEMP.
0.03673226,0.099410968,0.099140813,0.063504196,0.040073451,0.836909871
0.364336745,0.318289829,0.319587089,0.18750892,0.145816704,0.832618026
0.007319179,0.198679804,0.19829019,0.12029579,0.006957838,0.82832618
0.012832404,0.127967417,0.129622429,0.084408298,0.010786979,0.82832618
0.025545529,0.343090448,0.347751058,0.14503925,0.024122899,0.82832618
0.007752652,0.161726587,0.164162503,0.046077712,0.000199363,0.824034335
0.015207418,0.319222707,0.323481022,0.145786352,0.034525665,0.824034335
0.01273549,0.013436649,0.010688293,0.096134065,0.033579265,0.821459227
0.020841474,0.093415854,0.093211903,0.059523095,0.037718526,0.819742489
0.010453974,0.119930214,0.115697756,0.040372075,0.000199363,0.815450644
0.045923245,0.046180658,0.046126406,0.066309029,0.057487525,0.811158798
0.020225822,0.097500579,0.097308818,0.057754756,0.042179364,0.806866953
0.005591191,0.061708185,0.049159803,0.008037011,0.011656995,0.802575107
0.006212434,0.141794694,0.1420084,0.053808106,0.018531575,0.802575107
0.006367745,0.139284637,0.13970899,0.049870807,0.017767732,0.802575107
0.006988988,0.043745589,0.040913643,0.001146738,0.007837784,0.802575107
0.008542097,0.192937107,0.194260514,0.057253242,0.022350785,0.802575107
0.009629273,0.220704614,0.208770585,0.105977311,0.020823101,0.802575107
0.010405827,0.155129372,0.155566991,0.060698378,0.019295417,0.802575107
0.011182382,0.203291093,0.203537444,0.067096488,0.013948522,0.802575107
0.011803625,0.159835729,0.161038001,0.085306494,0.012420837,0.802575107
0.014071163,0.007836084,0.008198587,0.110160691,0.010816769,0.802575107
0.015065153,0.259218302,0.251032158,0.059714054,0.011656995,0.802575107
0.018016059,0.140931862,0.14232556,0.061190541,0.020823101,0.802575107
0.020782145,0.370576985,0.370972563,0.186790363,0.068792388,0.802575107
0.026247534,0.10390852,0.100936177,0.048886483,0.042974524,0.802575107
0.053116312,0.17732769,0.178243933,0.04839432,0.000199363,0.802575107
0.09214593,0.05922166,0.054099571,0.062519379,0.072000526,0.802575107
0.006367745,0.12908753,0.129559869,0.04396486,0.017767732,0.798283262
