NH3-N,TN,TKN,TP,Orthophosphate,WATER TEMP.
0.003,0.0095,0.003,0.0195,0.05967,29.1
0.003,0.0172,0.0101,0.1154,0.0123,25.1
0.003,0.0193,0.003,0.0275,0.0656,29.72
0.003,0.0224,0.003,0.0652,0.0233,30.63
0.003,0.0244,0.0137,0.0786,0.0165,24.9
0.003,0.0252,0.0141,0.0862,0.0197,29.2
0.003,0.0262,0.0146,0.1037,0.0385,26.4
0.003,0.035,0.019,0.045,0.0415,31.5
0.003,0.0464,0.003,0.1159,0.0275,21.2
0.003,0.0484,0.0257,0.0598,0.0455,30.61
0.003,0.0508,0.0269,0.0422,0.0628,25.9
0.003,0.0526,0.0278,0.0831,0.0357,29.48
0.003,0.057,0.03,0.0433,0.0147,27.27
0.003,0.0574,0.0302,0.0689,0.018,24.4
0.003,0.059,0.031,0.0901,0.0219,23.6
0.003,0.0702,0.0366,0.0703,0.0259,26.47
0.003,0.0714,0.0372,0.0816,0.0154,25.2
0.003,0.0764,0.0397,0.0436,0.0334,29.8
0.003,0.0768,0.0399,0.0799,0.0375,30.33
0.003,0.07962,0.04888,0.07033,0.07033,19.4
0.003,0.089,0.046,0.0411,0.0284,25.56
0.003,0.1222,0.0626,0.1141,0.0488,23.64
0.003,0.1324,0.0677,0.0898,0.0291,24.1
0.003,0.1382,0.0706,0.1114,0.0692,23.07
0.003,0.1644,0.003,0.1183,0.0187,25
0.003,0.25358,0.24263,0.05907,0.05907,20.1
0.003,0.341,0.152,0.078,0.019,24.7
0.003,0.447334,0.4274,0.06735,0.06735,22.2
0.003,0.518,0.24826,0.09234,0.09234,21.9
0.003,0.654796,0.45148,0.09654,0.08485,19.7
0.003,0.661309,0.661304,0.025971,0.003805,32.5
0.003,0.681,0.502,0.097,0.186,28.2
0.003,0.682016,0.682017,0.072489,0.006815,31.9
0.003,0.727995,0.682618,0.113842,0.032986,24.8
0.003,0.780651,0.761151,0.116855,0.0456,33.1
0.003,0.8027,0.003,0.0773,0.0127,26.4
0.003,0.820927,0.54337,0.08688,0.08688,21.7
0.003,0.831,0.421,0.107,0.086,27.5
0.003,0.87836,0.7135,0.06015,0.06015,24.6
0.003,0.966,0.739,0.103,0.037,28.8
0.003,1.1596,1.1322,0.1796,0.0118,29.1
0.003,1.347822,0.697922,0.279783,0.1789,29.8
0.003,1.79295,1.76975,0.34374,0.1887,33.5
0.003,1.981,1.9667,0.22201,0.0152,31.8
0.003,6.067132,0.46834,0.13533,0.12387,22.5
